GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1
10129600|Due from China Pay-Direct RMB|CPDIR109(A)|Temporary Account – Unknown Txn Offline|Offline|China|Debit|RMB| 1,052,310.42 | 1,336,456.44 ||
10129600|Due from China Pay-Direct RMB|CPDIR115|Temporary Account - Offline pending deposit|Offline|China|Credit|RMB| (148,634.46)| (184,367.32)||
10129600|Due from China Pay-Direct RMB|CPDIR116|Temporary Account - Offline pending payout|Offline|China|Debit|RMB| 981,806.24 | 1,204,659.77 ||
10129600|Due from China Pay-Direct RMB|CPDIR128(A)|PSP - Mr. Xiao Bank-in-transit(Available)|Offline|China|Credit|RMB| (3,039,185.85)| (3,843,000.81)||
10129600|Due from China Pay-Direct RMB|CPDIR139(A)|51ePay-51ePay-10415(Available)|Mobile|China|Debit|RMB| 760,470.36 | 940,182.73 ||
10129600|Due from China Pay-Direct RMB|CPDIR139(F)|51ePay-51ePay-10415(Float)|Mobile|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR140(A)|AllInPay-AllInPay-5001(Available)|Mobile|China|Debit|RMB| 778,235.67 | 949,272.68 ||
10129600|Due from China Pay-Direct RMB|CPDIR140(F)|AllInPay-AllInPay-5001(Float)|Mobile|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR159(A)|ToMerchantPay-GoPay-880111(Available)|Hybrid|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR159(F)|ToMerchantPay-GoPay-880111(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR164(A)|ToMerchantPay-YeePay-880112(Available)|Hybrid|China|Debit|RMB| 1,004.28 | (7,287.69)||
10129600|Due from China Pay-Direct RMB|CPDIR164(F)|ToMerchantPay-YeePay-880112(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR165(A)|LinkinPay-eBatong-045(Available)|Hybrid|China|Debit|RMB| 299,770.20 | 366,451.36 ||
10129600|Due from China Pay-Direct RMB|CPDIR165(F)|LinkinPay-eBatong-045(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR168(A)|eSkyPay-IPS-1101(Available)|Hybrid|China|Debit|RMB| 532,865.93 | 665,438.45 ||
10129600|Due from China Pay-Direct RMB|CPDIR168(F)|eSkyPay-IPS-1101(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR169(A)|PSP - Mr. Chan Bank-in-transit(Available)|Offline|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR171(A)|LinkinPay-YeePay-048(Available)|Hybrid|China||| 20.68 | 25.90 ||
10129600|Due from China Pay-Direct RMB|CPDIR171(F)|LinkinPay-YeePay-048(Float) |Hybrid|China|Debit|RMB||||
10129600|Due from China Pay-Direct RMB|CPDIR173(A)|HaiPay-FL-158(Available)|Hybrid|China|Debit|RMB| 4,106,740.93 | 5,160,125.27 ||
10129600|Due from China Pay-Direct RMB|CPDIR173(F)|HaiPay-FL-158(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR176(A)|LinkinPay-eBatong-049(Available) |Hybrid|China|Debit|RMB| 302,657.29 | 370,840.40 ||
10129600|Due from China Pay-Direct RMB|CPDIR176(F)|LinkinPay-eBatong-049(Float) |Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR179(A)|Huanmei-UnionPay-189(Available)|Hybrid|China|Debit|RMB| 3,459,919.64 | 4,305,153.18 ||
10129600|Due from China Pay-Direct RMB|CPDIR179(F)|Huanmei-UnionPay-189(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR184(A)|HaiPay-HaiPay-2233(Available)|Gateway|China|Debit|RMB| 491,527.89 | 617,226.22 ||
10129600|Due from China Pay-Direct RMB|CPDIR184(F)|HaiPay-HaiPay-2233(Float)|Gateway|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR185(A)|AllInPay-AllInPay-8003(Available)|Mobile|China|Debit|RMB| 392,226.75 | 498,085.33 ||
10129600|Due from China Pay-Direct RMB|CPDIR185(F)|AllInPay-AllInPay-8003(Float)|Mobile|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR188(A)|WeiHueiPay-95ePay-100081(Available)|Gateway|China|Debit|RMB| 1,327,718.98 | 1,682,054.42 ||
